exam_type,modality,domain,anatomy,count,distinct_doctors,laterality_values
RM_COLUNA_LOMBAR,RM,MSK,COLUNA_LOMBAR,770,5,NULL
RM_JOELHO_D,RM,MSK,JOELHO,463,4,D
RM_JOELHO_E,RM,MSK,JOELHO,448,4,E
RM_ENCEFALO,RM,NEURO,ENCEFALO,394,2,NULL
TC_TORAX,TC,TORAX,TORAX,356,2,NULL
RM_COLUNA_CERVICAL,RM,MSK,COLUNA_CERVICAL,333,5,NULL
RX_COLUNA_LOMBAR,RX,MSK,COLUNA_LOMBAR,305,3,NULL
RM_PELVIS,RM,PELVE_GU,PELVIS,296,3,NULL
RM_OMBRO_D,RM,MSK,OMBRO,271,4,D
RM_OMBRO_E,RM,MSK,OMBRO,224,4,E
TC_ABDOME_PELVE,TC,ABDOME,ABDOME_PELVE,215,2,NULL
TC_SEIOS_DA_FACE,TC,CABECA_PESCOCO,SEIOS_DA_FACE,203,2,NULL
TC_CORONARIAS,TC,CARDIO,CORONARIAS,201,1,NULL
TC_ENCEFALO,TC,NEURO,ENCEFALO,194,3,NULL
TC_COLUNA_LOMBAR,TC,MSK,COLUNA_LOMBAR,192,5,NULL
RM_ABDOME,RM,ABDOME,ABDOME,159,2,NULL
RM_ANGIO_CRANIO,RM,NEURO,ANGIO_CRANIO,146,2,NULL
RM_ABDOME_PELVE,RM,ABDOME,ABDOME_PELVE,145,2,NULL
RM_QUADRIL_E,RM,MSK,QUADRIL,136,4,E
RM_QUADRIL_D,RM,MSK,QUADRIL,131,4,D
RX_PUNHO,RX,MSK,PUNHO,124,3,NULL
RM_PROSTATA,RM,PELVE_GU,PROSTATA,120,1,NULL
RM_SACROILIACAS,RM,MSK,SACROILIACAS,111,4,NULL
RX_JOELHO,RX,MSK,JOELHO,93,3,NULL
RM_COLUNA_TORACICA,RM,MSK,COLUNA_TORACICA,91,5,NULL
RM_TORNOZELO_E,RM,MSK,TORNOZELO,90,4,E
RM_TORNOZELO_D,RM,MSK,TORNOZELO,87,4,D
RM_ATM,RM,MSK,ATM,83,1,NULL
RX_TORAX,RX,TORAX,TORAX,82,3,NULL
RX_COLUNA_CERVICAL,RX,MSK,COLUNA_CERVICAL,67,3,NULL
RX_COLUNA_LOMBAR_E,RX,MSK,COLUNA_LOMBAR,63,3,E
TC_COLUNA_CERVICAL,TC,MSK,COLUNA_CERVICAL,58,5,NULL
RX_OMBRO,RX,MSK,OMBRO,55,3,NULL
RM_QUADRIL_BILATERAL,RM,MSK,QUADRIL,54,4,BILATERAL
RX_PELVE_OSSEA,RX,MSK,PELVE_OSSEA,53,3,NULL
RM_PE_D,RM,MSK,PE,46,4,D
RM_PUNHO_D,RM,MSK,PUNHO,44,4,D
RM_MAO_D,RM,MSK,MAO,44,3,D
RX_JOELHO_BILATERAL,RX,MSK,JOELHO,44,3,BILATERAL
RM_MAMA,RM,MAMA,MAMA,43,1,NULL
RM_MAO_E,RM,MSK,MAO,40,3,E
RM_VIAS_BILIARES,RM,ABDOME,VIAS_BILIARES,39,1,NULL
RM_PLEXO_LOMBOSSACRO,RM,NEURO,PLEXO_LOMBOSSACRO,39,4,NULL
RM_COTOVELO_D,RM,MSK,COTOVELO,37,4,D
RM_HIPOFISE_SELA,RM,NEURO,HIPOFISE_SELA,37,1,NULL
RM_PUNHO_E,RM,MSK,PUNHO,36,4,E
RM_PE_E,RM,MSK,PE,36,3,E
RX_COLUNA_LOMBAR_D,RX,MSK,COLUNA_LOMBAR,36,3,D
RM_PELVE_OSSEA,RM,MSK,PELVE_OSSEA,35,4,NULL
TC_RINS_VIAS_URINARIAS,TC,PELVE_GU,RINS_VIAS_URINARIAS,33,2,NULL
RM_COTOVELO_E,RM,MSK,COTOVELO,30,4,E
RM_OUVIDO,RM,CABECA_PESCOCO,OUVIDO,29,2,NULL
TC_ABDOME,TC,ABDOME,ABDOME,28,2,NULL
RX_MAO,RX,MSK,MAO,25,2,NULL
TC_PESCOCO,TC,CABECA_PESCOCO,PESCOCO,24,1,NULL
RX_PE,RX,MSK,PE,24,3,NULL
RM_DEDOS,RM,MSK,DEDOS,23,1,NULL
RX_QUADRIL_BILATERAL,RX,MSK,QUADRIL,22,3,BILATERAL
RM_COLUNA_SACRAL,RM,MSK,COLUNA_SACRAL,20,5,NULL
RX_JOELHO_D,RX,MSK,JOELHO,20,3,D
RX_TORNOZELO,RX,MSK,TORNOZELO,19,3,NULL
RX_PELVE_OSSEA_BILATERAL,RX,MSK,PELVE_OSSEA,18,2,BILATERAL
RM_ANGIO_PESCOCO,RM,VASCULAR,ANGIO_PESCOCO,17,2,NULL
TC_ANGIO_CRANIO,TC,NEURO,ANGIO_CRANIO,17,2,NULL
RX_JOELHO_E,RX,MSK,JOELHO,17,3,E
RM_ORBITAS,RM,CABECA_PESCOCO,ORBITAS,16,2,NULL
RM_COXA_D,RM,MSK,COXA,16,4,D
RM_CORACAO,RM,CARDIO,CORACAO,16,1,NULL
RM_COXA_E,RM,MSK,COXA,16,4,E
RX_PE_D,RX,MSK,PE,16,3,D
RM_PERNA_E,RM,MSK,PERNA,15,3,E
RX_COLUNA_TORACICA,RX,MSK,COLUNA_TORACICA,15,3,NULL
RM_PERNA_D,RM,MSK,PERNA,13,4,D
RM_SSPINE,RM,INDEFINIDO,SSPINE,13,1,NULL
RX_MAO_BILATERAL,RX,MSK,MAO,13,2,BILATERAL
RM_FIGADO,RM,ABDOME,FIGADO,12,1,NULL
TC_ARCOS_COSTAIS,TC,TORAX,ARCOS_COSTAIS,12,5,NULL
TC_PUNHO_D,TC,MSK,PUNHO,11,3,D
RX_SACROILIACAS,RX,MSK,SACROILIACAS,11,3,NULL
TC_COLUNA_TORACICA,TC,MSK,COLUNA_TORACICA,10,3,NULL
RX_PERNA_D,RX,MSK,PERNA,10,3,D
RX_SEIOS_DA_FACE_BILATERAL,RX,CABECA_PESCOCO,SEIOS_DA_FACE,10,1,BILATERAL
RX_PE_BILATERAL,RX,MSK,PE,10,2,BILATERAL
TC_AORTA_TORACICA,TC,VASCULAR,AORTA_TORACICA,9,2,NULL
TC_QUADRIL_BILATERAL,TC,MSK,QUADRIL,9,3,BILATERAL
RX_LARINGE_FARINGE,RX,CABECA_PESCOCO,LARINGE_FARINGE,9,1,NULL
RX_PUNHO_BILATERAL,RX,MSK,PUNHO,9,2,BILATERAL
TC_QUADRIL_D,TC,MSK,QUADRIL,8,4,D
TC_TORNOZELO_D,TC,MSK,TORNOZELO,8,3,D
TC_ATM,TC,MSK,ATM,8,1,NULL
TC_PELVE_OSSEA,TC,MSK,PELVE_OSSEA,8,4,NULL
RX_COTOVELO,RX,MSK,COTOVELO,8,2,NULL
RX_OMBRO_D,RX,MSK,OMBRO,8,3,D
RX_SEIOS_DA_FACE,RX,CABECA_PESCOCO,SEIOS_DA_FACE,8,1,NULL
TC_PARTES_MOLES,TC,MSK,PARTES_MOLES,7,1,NULL
TC_PELVIS,TC,PELVE_GU,PELVIS,7,1,NULL
TC_MASTOIDES_TEMPORAIS,TC,CABECA_PESCOCO,MASTOIDES_TEMPORAIS,7,1,NULL
RX_OMBRO_E,RX,MSK,OMBRO,7,3,E
RX_QUADRIL_E,RX,MSK,QUADRIL,7,1,E
RX_TORNOZELO_BILATERAL,RX,MSK,TORNOZELO,7,1,BILATERAL
RX_COXA_BILATERAL,RX,MSK,COXA,7,2,BILATERAL
RX_SEIOS_DA_FACE_D,RX,CABECA_PESCOCO,SEIOS_DA_FACE,7,1,D
RM_SEIOS_DA_FACE,RM,CABECA_PESCOCO,SEIOS_DA_FACE,6,1,NULL
RM_ARCOS_COSTAIS,RM,TORAX,ARCOS_COSTAIS,6,3,NULL
RM_TORAX,RM,TORAX,TORAX,6,1,NULL
TC_AORTA_ABDOMINAL,TC,VASCULAR,AORTA_ABDOMINAL,6,1,NULL
TC_TORNOZELO_E,TC,MSK,TORNOZELO,6,3,E
RX_PUNHO_E,RX,MSK,PUNHO,6,2,E
RX_PUNHO_D,RX,MSK,PUNHO,6,3,D
RX_COLUNA_LOMBAR_BILATERAL,RX,MSK,COLUNA_LOMBAR,6,1,BILATERAL
RX_DEDOS_BILATERAL,RX,MSK,DEDOS,6,3,BILATERAL
RM_PESCOCO,RM,CABECA_PESCOCO,PESCOCO,5,1,NULL
TC_JOELHO,TC,MSK,JOELHO,5,2,NULL
TC_PE_E,TC,MSK,PE,5,3,E
TC_COLUNA_SACRAL,TC,MSK,COLUNA_SACRAL,5,2,NULL
TC_JOELHO_D,TC,MSK,JOELHO,5,2,D
TC_JOELHO_E,TC,MSK,JOELHO,5,3,E
TC_PE_D,TC,MSK,PE,5,3,D
RX_MAO_E,RX,MSK,MAO,5,3,E
RX_TORNOZELO_D,RX,MSK,TORNOZELO,5,2,D
RX_MAO_D,RX,MSK,MAO,5,3,D
RM_RINS_VIAS_URINARIAS,RM,PELVE_GU,RINS_VIAS_URINARIAS,4,1,NULL
RM_ANTEBRACO_E,RM,MSK,ANTEBRACO,4,2,E
RM_JOELHO_BILATERAL,RM,MSK,JOELHO,4,2,BILATERAL
RM_MAMA_BILATERAL,RM,MAMA,MAMA,4,1,BILATERAL
TC_OMBRO_D,TC,MSK,OMBRO,4,3,D
